Kana	Recording	Romaji	Show Romaji by Default	Writing Tip	Writing Tip Illustration	Tags
て	[sound:7biey7947yx7iz074op63ck7x_te.mp3]	te		Keep <i>te</i> from looking like a 7 by imagining that a large plump ball is sitting in the curve.	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_te.png"">"	hiragana gojuon seion t_series
と	[sound:7biey7947yx7iz074op63ck7x_to.mp3]	to		"I think the standard way to remember <i>to</i> is to think of someone&rsquo;s big toe. If you keep that second stroke open enough to actually put a toe inside, it will look nice."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_to.png"">"	hiragana gojuon seion t_series
な	[sound:7biey7947yx7iz074op63ck7x_na.mp3]	na		"When writing this character, note that the third stroke veers to the right ever so slightly. If you swing it out just a bit there, it makes a big difference in the balance of the character."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_na.png"">"	hiragana gojuon seion n_series
に	[sound:7biey7947yx7iz074op63ck7x_ni.mp3]	ni		<i>Ni</i> is similar to <i>ta</i> in that the last two strokes should not be quite parallel. Taking this one simple precaution really helps the look of this character.	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_ni.png"">"	hiragana gojuon seion n_series
ぬ	[sound:7biey7947yx7iz074op63ck7x_nu.mp3]	nu		"My main advice for <i>nu</i> is that you make the first stroke long enough that the second will intersect it and leave a little hanging over, as I&rsquo;ve shown in red."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_nu.png"">"	hiragana gojuon seion n_series
ね	[sound:7biey7947yx7iz074op63ck7x_ne.mp3]	ne		"<i>Ne</i> doesn&rsquo;t look good when people confuse it with <i>nu</i> and make the first stroke diagonal. Bring it straight down, nice and strong."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_ne.png"">"	hiragana gojuon seion n_series
の	[sound:7biey7947yx7iz074op63ck7x_no.mp3]	no		"The main thing to notice in <i>no</i> is how perfect an oval it is. When you lift up your pencil at the end, you should be able to see little dashed lines in your imagination that close the circle."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_no.png"">"	hiragana gojuon seion n_series
は	[sound:7biey7947yx7iz074op63ck7x_ha.mp3]	ha		"With <i>ha</i>, just be sure to get the <i>hane</i> at the end of stroke 1. Also, when you make the loop at the end of the last stroke, be sure to make it wider than it is tall, as shown here."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_ha.png"">"	hiragana gojuon seion h_series
ひ	[sound:7biey7947yx7iz074op63ck7x_hi.mp3]	hi		"The biggest problem students have with <i>hi</i> is they always make the loop too sharp at the bottom. Keep the loop nice and open. Also, notice that the entire character lists to the side. You definitely don&rsquo;t want to make this character look like a U with wings. Lean it slightly to the right."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_hi.png"">"	hiragana gojuon seion h_series
ふ	[sound:7biey7947yx7iz074op63ck7x_fu.mp3]	fu		Think of Mount Fuji when writing the character <i>fu</i>. It should basically fit inside the shape of a triangle.	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_fu.png"">"	hiragana gojuon seion h_series
へ	[sound:7biey7947yx7iz074op63ck7x_he.mp3]	he		It&rsquo;s pretty hard to go wrong on <i>he</i>. Just make the downstroke about twice as long as the upstroke.	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_he.png"">"	hiragana gojuon seion h_series
ほ	[sound:7biey7947yx7iz074op63ck7x_ho.mp3]	ho		"Notice the even spacing of the elements on the right side of <i>ho</i>. And of course, watch the <i>hane</i> and the loop as I mentioned for <i>ha</i>."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_ho.png"">"	hiragana gojuon seion h_series
ま	[sound:7biey7947yx7iz074op63ck7x_ma.mp3]	ma		"My comments on <i>ma</i> are exactly the same as those for <i>ho</i>. If you take notice again of the even spacing of the elements in this character, you won&rsquo;t make it too elongated."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_ma.png"">"	hiragana gojuon seion m_series
み	[sound:7biey7947yx7iz074op63ck7x_mi.mp3]	mi		<i>Mi</i> looks bad if you don&rsquo;t make the horizontal stroke long enough. Keep the loop open and then draw the arch way over to the right.	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_mi.png"">"	hiragana gojuon seion m_series
む	[sound:7biey7947yx7iz074op63ck7x_mu.mp3]	mu		"To keep <i>mu</i> looking sharp, give it a nice wide base, like a travel coffee <b>mu</b>g."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_mu.png"">"	hiragana gojuon seion m_series
め	[sound:7biey7947yx7iz074op63ck7x_me.mp3]	me		"The only thing to watch out for on <i>me</i> is that the second stroke crosses the first twice, as I&rsquo;ve indicated."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_me.png"">"	hiragana gojuon seion m_series
も	[sound:7biey7947yx7iz074op63ck7x_mo.mp3]	mo		"Looking at my drawing here, you should be able to see the energy leaving stroke one and pointing toward the first horizontal stroke. <i>Mo</i> looks great when you veer the end of stroke one off to the northwest as I&rsquo;ve shown."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_mo.png"">"	hiragana gojuon seion m_series
や	[sound:7biey7947yx7iz074op63ck7x_ya.mp3]	ya		"Notice that in <i>ya</i>, the first and last strokes are perpendicular where they cross. But the cross that is formed is not standing straight up. It&rsquo;s really important to make it lean back like this."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_ya.png"">"	hiragana gojuon seion y_series
ゆ	[sound:7biey7947yx7iz074op63ck7x_yu.mp3]	yu		<i>Yu</i> looks really good when you keep fluid as you write it. Notice how the end of stroke one leads right up into the next stroke. Many people even make the whole character into one long stroke by drawing along the path I&rsquo;ve shown here. You may write it whichever way you like.	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_yu.png"">"	hiragana gojuon seion y_series
よ	[sound:7biey7947yx7iz074op63ck7x_yo.mp3]	yo		"The advice I gave regarding the loops in <i>ha</i>, <i>ho</i>, and <i>ma</i> also holds true here. The only other piece of wisdom I can offer is to make sure that the first stroke and the very end of the second stroke stick out about the same length."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_yo.png"">"	hiragana gojuon seion y_series
ら	[sound:7biey7947yx7iz074op63ck7x_ra.mp3]	ra		"My comments on <i>ra</i> are similar to those for <i>chi</i>. After you start the second stroke, be sure to come slightly up and over where the arrow shows."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_ra.png"">"	hiragana gojuon seion r_series
り	[sound:7biey7947yx7iz074op63ck7x_ri.mp3]	ri		"With <i>ri</i>, just watch the <i>hane</i> at the end of stroke 1."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_ri.png"">"	hiragana gojuon seion r_series
る	[sound:7biey7947yx7iz074op63ck7x_ru.mp3]	ru		Check out how long the red portion of <i>ru</i> is here. It comes further to the left than any other part of the character. Be sure to give this line its full value.	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_ru.png"">"	hiragana gojuon seion r_series
れ	[sound:7biey7947yx7iz074op63ck7x_re.mp3]	re		"This character looks an awful lot like <i>ne</i>, but without the loop. Emphasize the difference by making the final stroke come down strong with a little curl at the end."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_re.png"">"	hiragana gojuon seion r_series
ろ	[sound:7biey7947yx7iz074op63ck7x_ro.mp3]	ro		"It&rsquo;s hard to go wrong with this one, but avoid making it look like a 3 by keeping the upper right corner sharp."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_ro.png"">"	hiragana gojuon seion r_series
わ	[sound:7biey7947yx7iz074op63ck7x_wa.mp3]	wa		"<i>Wa</i> looks exactly the same as <i>ne</i>, only without the final loop. It&rsquo;s also similar in shape to <i>re</i>. Differentiate it by keeping it nice and open, with plenty of air inside."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_wa.png"">"	hiragana gojuon seion w_series
を	[sound:7biey7947yx7iz074op63ck7x_(w)o.mp3]	(w)o	1	"As strange as this character looks, it&rsquo;s not difficult to write. It might help to imagine it as a hybrid of <i>n</i> and <i>to</i>."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_wo.png"">"	hiragana gojuon seion w_series
ん	[sound:7biey7947yx7iz074op63ck7x_n.mp3]	n		Don&rsquo;t deny it. I know you&rsquo;re thinking that this looks like an <i>h</i>. And that&rsquo;s just how you should write it. Just be sure to make it an <u>italic</u> <i>h</i>.	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_n.png"">"	hiragana gojuon seion w_series
が	[sound:7biey7947yx7iz074op63ck7x_ga.mp3]	ga				hiragana dakuon k_series g_series
ぎ	[sound:7biey7947yx7iz074op63ck7x_gi.mp3]	gi				hiragana dakuon k_series g_series
ぐ	[sound:7biey7947yx7iz074op63ck7x_gu.mp3]	gu				hiragana dakuon k_series g_series
げ	[sound:7biey7947yx7iz074op63ck7x_ge.mp3]	ge				hiragana dakuon k_series g_series
ご	[sound:7biey7947yx7iz074op63ck7x_go.mp3]	go				hiragana dakuon k_series g_series
ざ	[sound:7biey7947yx7iz074op63ck7x_za.mp3]	za				hiragana dakuon s_series z_series
じ	[sound:7biey7947yx7iz074op63ck7x_ji.mp3]	ji	1			hiragana dakuon s_series z_series
ず	[sound:7biey7947yx7iz074op63ck7x_zu.mp3]	zu	1			hiragana dakuon s_series z_series
ぜ	[sound:7biey7947yx7iz074op63ck7x_ze.mp3]	ze				hiragana dakuon s_series z_series
ぞ	[sound:7biey7947yx7iz074op63ck7x_zo.mp3]	zo				hiragana dakuon s_series z_series
だ	[sound:7biey7947yx7iz074op63ck7x_da.mp3]	da				hiragana dakuon t_series d_series
ぢ	[sound:7biey7947yx7iz074op63ck7x_(d)ji.mp3]	(d)ji	1			hiragana dakuon t_series d_series
づ	[sound:7biey7947yx7iz074op63ck7x_(d)zu.mp3]	(d)zu	1			hiragana dakuon t_series d_series
で	[sound:7biey7947yx7iz074op63ck7x_de.mp3]	de				hiragana dakuon t_series d_series
ど	[sound:7biey7947yx7iz074op63ck7x_do.mp3]	do				hiragana dakuon t_series d_series
ば	[sound:7biey7947yx7iz074op63ck7x_ba.mp3]	ba				hiragana dakuon h_series b_series
び	[sound:7biey7947yx7iz074op63ck7x_bi.mp3]	bi				hiragana dakuon h_series b_series
ぶ	[sound:7biey7947yx7iz074op63ck7x_bu.mp3]	bu				hiragana dakuon h_series b_series
べ	[sound:7biey7947yx7iz074op63ck7x_be.mp3]	be				hiragana dakuon h_series b_series
ぼ	[sound:7biey7947yx7iz074op63ck7x_bo.mp3]	bo				hiragana dakuon h_series b_series
ぱ	[sound:7biey7947yx7iz074op63ck7x_pa.mp3]	pa				hiragana dakuon handakuon h_series p_series
ぴ	[sound:7biey7947yx7iz074op63ck7x_pi.mp3]	pi				hiragana dakuon handakuon h_series p_series
ぷ	[sound:7biey7947yx7iz074op63ck7x_pu.mp3]	pu				hiragana dakuon handakuon h_series p_series
ぺ	[sound:7biey7947yx7iz074op63ck7x_pe.mp3]	pe				hiragana dakuon handakuon h_series p_series
ぽ	[sound:7biey7947yx7iz074op63ck7x_po.mp3]	po				hiragana dakuon handakuon h_series p_series
きゃ	[sound:7biey7947yx7iz074op63ck7x_kya.mp3]	kya				hiragana yoon k_series ky_series
きゅ	[sound:7biey7947yx7iz074op63ck7x_kyu.mp3]	kyu				hiragana yoon k_series ky_series
きょ	[sound:7biey7947yx7iz074op63ck7x_kyo.mp3]	kyo				hiragana yoon k_series ky_series
しゃ	[sound:7biey7947yx7iz074op63ck7x_sha.mp3]	sha				hiragana yoon s_series sh_series
しゅ	[sound:7biey7947yx7iz074op63ck7x_shu.mp3]	shu				hiragana yoon s_series sh_series
しょ	[sound:7biey7947yx7iz074op63ck7x_sho.mp3]	sho				hiragana yoon s_series sh_series
ちゃ	[sound:7biey7947yx7iz074op63ck7x_cha.mp3]	cha				hiragana yoon t_series ch_series
ちゅ	[sound:7biey7947yx7iz074op63ck7x_chu.mp3]	chu				hiragana yoon t_series ch_series
ちょ	[sound:7biey7947yx7iz074op63ck7x_cho.mp3]	cho				hiragana yoon t_series ch_series
にゃ	[sound:7biey7947yx7iz074op63ck7x_nya.mp3]	nya				hiragana yoon n_series ny_series
にゅ	[sound:7biey7947yx7iz074op63ck7x_nyu.mp3]	nyu				hiragana yoon n_series ny_series
にょ	[sound:7biey7947yx7iz074op63ck7x_nyo.mp3]	nyo				hiragana yoon n_series ny_series
ひゃ	[sound:7biey7947yx7iz074op63ck7x_hya.mp3]	hya				hiragana yoon h_series hy_series
ひゅ	[sound:7biey7947yx7iz074op63ck7x_hyu.mp3]	hyu				hiragana yoon h_series hy_series
ひょ	[sound:7biey7947yx7iz074op63ck7x_hyo.mp3]	hyo				hiragana yoon h_series hy_series
みゃ	[sound:7biey7947yx7iz074op63ck7x_mya.mp3]	mya				hiragana yoon m_series my_series
みゅ	[sound:7biey7947yx7iz074op63ck7x_myu.mp3]	myu				hiragana yoon m_series my_series
みょ	[sound:7biey7947yx7iz074op63ck7x_myo.mp3]	myo				hiragana yoon m_series my_series
りゃ	[sound:7biey7947yx7iz074op63ck7x_rya.mp3]	rya				hiragana yoon r_series ry_series
りゅ	[sound:7biey7947yx7iz074op63ck7x_ryu.mp3]	ryu	1			hiragana yoon r_series ry_series
りょ	[sound:7biey7947yx7iz074op63ck7x_ryo.mp3]	ryo				hiragana yoon r_series ry_series
ぎゃ	[sound:7biey7947yx7iz074op63ck7x_gya.mp3]	gya				hiragana yoon_dakuon k_series ky_series g_series gy_series
ぎゅ	[sound:7biey7947yx7iz074op63ck7x_gyu.mp3]	gyu				hiragana yoon_dakuon k_series ky_series g_series gy_series
ぎょ	[sound:7biey7947yx7iz074op63ck7x_gyo.mp3]	gyo				hiragana yoon_dakuon k_series ky_series g_series gy_series
じゃ	[sound:7biey7947yx7iz074op63ck7x_ja.mp3]	ja	1			hiragana yoon_dakuon s_series sh_series j_series
じゅ	[sound:7biey7947yx7iz074op63ck7x_ju.mp3]	ju	1			hiragana yoon_dakuon s_series sh_series j_series
じょ	[sound:7biey7947yx7iz074op63ck7x_jo.mp3]	jo	1			hiragana yoon_dakuon s_series sh_series j_series
ぢゃ	[sound:7biey7947yx7iz074op63ck7x_(d)ja.mp3]	(d)ja	1			hiragana yoon_dakuon t_series ch_series j_series
ぢゅ	[sound:7biey7947yx7iz074op63ck7x_(d)ju.mp3]	(d)ju	1			hiragana yoon_dakuon t_series ch_series j_series
ぢょ	[sound:7biey7947yx7iz074op63ck7x_(d)jo.mp3]	(d)jo	1			hiragana yoon_dakuon t_series ch_series j_series
びゃ	[sound:7biey7947yx7iz074op63ck7x_bya.mp3]	bya				hiragana yoon_dakuon h_series hy_series b_series by_series
びゅ	[sound:7biey7947yx7iz074op63ck7x_byu.mp3]	byu				hiragana yoon_dakuon h_series hy_series b_series by_series
びょ	[sound:7biey7947yx7iz074op63ck7x_byo.mp3]	byo				hiragana yoon_dakuon h_series hy_series b_series by_series
ぴゃ	[sound:7biey7947yx7iz074op63ck7x_pya.mp3]	pya				hiragana yoon_dakuon yoon_handakuon h_series hy_series p_series py_series
ぴゅ	[sound:7biey7947yx7iz074op63ck7x_pyu.mp3]	pyu				hiragana yoon_dakuon yoon_handakuon h_series hy_series p_series py_series
ぴょ	[sound:7biey7947yx7iz074op63ck7x_pyo.mp3]	pyo				hiragana yoon_dakuon yoon_handakuon h_series hy_series p_series py_series
ア	[sound:7biey7947yx7iz074op63ck7x_a.mp3]	a		"Keep the angle in stroke one sharp in this character. When you begin stroke two, don&rsquo;t curve it right away. Bring it straight down for a bit before sweeping left."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_a.png"">"	katakana gojuon seion a_series
イ	[sound:7biey7947yx7iz074op63ck7x_i.mp3]	i		"Be sure to bring the second stroke straight down with a solid stop at the bottom. Don&rsquo;t flick your pencil down to make this stroke. Bring it straight down, stop moving the lead, <u>then</u> pick up your pencil."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_i.png"">"	katakana gojuon seion a_series
ウ	[sound:7biey7947yx7iz074op63ck7x_u.mp3]	u		"Notice that the first two strokes and the first part of the third are all perfectly straight. Also, note that the first stroke is centered over the third."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_u.png"">"	katakana gojuon seion a_series
エ	[sound:7biey7947yx7iz074op63ck7x_e.mp3]	e		Think of a flattened I-beam when you write this one. Notice that the character is slightly wider than it is tall.	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_e.png"">"	katakana gojuon seion a_series
オ	[sound:7biey7947yx7iz074op63ck7x_o.mp3]	o		"Notice that the second stroke does not come down through the middle of the first. Keep it slightly off to the right, to make room for stroke three."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_o.png"">"	katakana gojuon seion a_series
カ	[sound:7biey7947yx7iz074op63ck7x_ka.mp3]	ka		Your main concerns in this character are the point in the middle of the first stroke and the <i>hane</i> at the end.	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_ka.png"">"	katakana gojuon seion k_series
キ	[sound:7biey7947yx7iz074op63ck7x_ki.mp3]	ki		"Keep this character leaning to the left, reminiscent of its hiragana counterpart. Notice that the last stroke bisects the first two at a 90-degree angle."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_ki.png"">"	katakana gojuon seion k_series
ク	[sound:7biey7947yx7iz074op63ck7x_ku.mp3]	ku		"Here we have two instances of the &ldquo;katakana curve&rdquo; in a single character. If you can master this curve, your characters will look great."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_ku.png"">"	katakana gojuon seion k_series
ケ	[sound:7biey7947yx7iz074op63ck7x_ke.mp3]	ke		"Obviously, <i>ke</i> differs from <i>ku</i> in that the second stroke is longer. But also notice that the placement of the second stroke is slightly lower, so that it meets the first stroke in the middle, not as high up as in <i>ku</i>."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_ke.png"">"	katakana gojuon seion k_series
コ	[sound:7biey7947yx7iz074op63ck7x_ko.mp3]	ko		"It&rsquo;s subtle in this font, but in <i>ko</i>, as in <i>e</i>, the character is slightly wider than it is tall."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_ko.png"">"	katakana gojuon seion k_series
サ	[sound:7biey7947yx7iz074op63ck7x_sa.mp3]	sa		"Be careful with <i>sa</i>, as it looks a lot like the hiragana character <i>se</i>."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_sa.png"">"	katakana gojuon seion s_series
シ	[sound:7biey7947yx7iz074op63ck7x_shi.mp3]	shi		"The last stroke in this character <strong>must</strong> be written from the bottom up. Also notice that the angle isn&rsquo;t as steep as in <i>so</i>, below. The first two strokes point more in the direction of the horizon than the elements of <i>so</i>."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_shi.png"">"	katakana gojuon seion s_series sh_series
ス	[sound:7biey7947yx7iz074op63ck7x_su.mp3]	su		"If you find it easier, most people write <i>su</i> using all straight lines. There&rsquo;s no need to curve the end of the first stroke."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_su.png"">"	katakana gojuon seion s_series
セ	[sound:7biey7947yx7iz074op63ck7x_se.mp3]	se		Don&rsquo;t skimp on that <i>hane</i> at the end of the first stroke. Give it the same oomph you might use when finishing off a check mark and you&rsquo;ll have a great looking <i>se</i>.	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_se.png"">"	katakana gojuon seion s_series
ソ	[sound:7biey7947yx7iz074op63ck7x_so.mp3]	so		Make <i>so</i> look different from <i>shi</i> by emphasizing the fact that both elements in this character point down to the ground. The second stroke must start from the top.	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_so.png"">"	katakana gojuon seion s_series
タ	[sound:7biey7947yx7iz074op63ck7x_ta.mp3]	ta		<i>Ta</i> doesn&rsquo;t present many challenges. Just get that nice &ldquo;katakana curve&rdquo; in there.	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_ta.png"">"	katakana gojuon seion t_series
チ	[sound:7biey7947yx7iz074op63ck7x_chi.mp3]	chi		"In <i>chi</i>, the first stroke starts from the right and goes down and hard to the left, which is very unusual. As a general rule, all strokes go from left to right, and from top to bottom, so you need to remember that this character is special. Also notice that the last stroke pulls straight down, then curves at the end."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_chi.png"">"	katakana gojuon seion t_series ch_series
ツ	[sound:7biey7947yx7iz074op63ck7x_tsu.mp3]	tsu		"To remember the difference between <i>tsu</i> and <i>so</i>, it might be helpful to remind yourself that <i>tsu</i> has &ldquo;tsu&rdquo; (two) short strokes at the beginning instead of just one. Like the character <i>so</i>, the last stroke must come from the top."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_tsu.png"">"	katakana gojuon seion t_series ts_series
テ	[sound:7biey7947yx7iz074op63ck7x_te.mp3]	te		"Keep <i>te</i> and <i>chi</i> straight by remembering the two main differences: The first two strokes in <i>te</i> are parallel, and the third stroke doesn&rsquo;t go all the way through, as it does in <i>chi</i>."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_te.png"">"	katakana gojuon seion t_series
ト	[sound:7biey7947yx7iz074op63ck7x_to.mp3]	to		<i>To</i> is easy. Just keep the first stroke vertical and you&rsquo;ll be fine.	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_to.png"">"	katakana gojuon seion t_series
ナ	[sound:7biey7947yx7iz074op63ck7x_na.mp3]	na		Be sure to intersect the first stroke of <i>na</i> in the center.	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_na.png"">"	katakana gojuon seion n_series
ニ	[sound:7biey7947yx7iz074op63ck7x_ni.mp3]	ni		"You can remember <i>ni</i> because it has two horizontal lines, and <i>ni</i> is the word for &ldquo;two.&rdquo;"	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_ni.png"">"	katakana gojuon seion n_series
ヌ	[sound:7biey7947yx7iz074op63ck7x_nu.mp3]	nu		This character is basically a <i>ta</i> without the first stroke.	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_nu.png"">"	katakana gojuon seion n_series
ネ	[sound:7biey7947yx7iz074op63ck7x_ne.mp3]	ne		<i>Ne</i> will look a lot more balanced if you think of the third stroke as a central support pole around which the rest of the character should be distributed evenly.	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_ne.png"">"	katakana gojuon seion n_series
